isbn,titulo,autores,editora,ano,paginas,idioma,assuntos,capa_url,fonte,data_cadastro
9781098115784,Machine Learning Design Patterns,"Valliappa Lakshmanan, Sara Robinson, Michael Munn","O'Reilly Media, Incorporated",2020,400,eng,Science,,openlibrary,2026-06-17T17:13:05
9786598896218,"Python Fluente, 2ª edição, volume 1","Luciano Ramalho, Paulo Cândido",Heinar Gonçalves,2025,403,pt,"Ciência da Computação, Python, Programação, ciência_de_dados",,brasilapi,2026-06-17T17:13:13
9788551012239,Katábasis,"R.F. Kuang, Marina Vargas",Intrínseca,2025,480,pt,"Literatura americana, inferno, Literatura, magia, Fantasia",https://covers.openlibrary.org/b/isbn/9788551012239-L.jpg,brasilapi,2026-06-17T17:45:03
9786555985337,Parasite Eve,"Hideaki Sena, Ayumi Anraku",DARKSIDE ENTRETENIMENTO LTDA ME,2025,320,pt,"Outras literaturas; literaturas de outros idiomas, ficção-japonesa, terror, Ficção-Científica",https://covers.openlibrary.org/b/isbn/9786555985337-L.jpg,brasilapi,2026-06-17T17:45:03
9788547001445,A CAMA DE PROCUSTO,"NASSIM NICHOLAS TALEB, Renato Marques",Objetiva,2022,160,pt,"Literatura, Literatura",,brasilapi,2026-06-17T17:16:54
9788547001261,A lógica do cisne negro,"Nassim Nicholas Taleb, Renato Marques de Oliveira",Objetiva,2021,528,pt,"Sociologia e antropologia, Psicologia, Sociologia",,brasilapi,2026-06-17T17:45:04
9788547001087,ANTIFRÁGIL,"Nassim Nicholas Taleb, Renato Marques",Objetiva,2020,616,pt,"Psicologia, Complexidade, incerteza, Liderança",,brasilapi,2026-06-17T17:17:13
9788547000967,Iludidos pelo acaso: a influência da sorte nos mercados e na vida,"Nassim Nicholas Taleb, Sérgio Moraes Rego",Objetiva,2019,328,pt,"Economia, ECONOMIA, acaso, sorte, mercado",,brasilapi,2026-06-17T17:45:04
9788532530165,Quadribol através dos séculos,,Editora Rocco,None,,pt,,,brasilapi,2026-06-17T17:17:56
9788532530158,"Os contos de beedle, o bardo",,Editora Rocco,None,,pt,,,brasilapi,2026-06-17T17:45:05
9788532530172,Animais fantásticos e onde habitam,,Editora Rocco,None,,pt,,,brasilapi,2026-06-17T17:45:05
9788576573111,Nós,,Editora Aleph,None,0,pt,,,brasilapi,2026-06-17T17:45:06
9788594541758,Alice no País das Maravilhas: classic edition,Lewis Carroll,Darkside Books,None,,pt,Literatura infantil,,brasilapi,2026-06-17T17:45:06
9786555980868,Alice através do espelho,"Lewis Carroll, Marcia Heloisa, John Tenniel",DARKSIDE ENTRETENIMENTO LTDA ME,2021,192,pt,"Literatura inglesa (inclui literatura do Canadá), Alice, Fantasia, ficção-inglesa, Ficção-fantástica",,brasilapi,2026-06-17T17:18:56
